datetime,event,details
1920-11-10T16:49:42Z,Solar Eclipse (Partial),"Begin: 15:56, Max: 16:50, End: 17:40, Mag: 0.391"
1921-04-08T09:00:24Z,Solar Eclipse (Partial),"Begin: 07:43, Max: 09:00, End: 10:23, Mag: 0.673"
1921-04-22T07:43:57Z,Lunar Eclipse (Not visible),
1921-10-01T12:25:41Z,Solar Eclipse (Not visible),
1921-10-16T22:53:17Z,Lunar Eclipse (Partial),"Begin: 21:16, Max: 22:53, End: 00:30, Mag: 0.87"
1922-03-28T14:36:03Z,Solar Eclipse (Partial),"Begin: 13:28, Max: 14:36, End: 15:38, Mag: 0.385"
1922-09-21T04:37:39Z,Solar Eclipse (Not visible),
1923-03-03T03:31:27Z,Lunar Eclipse (Partial),"Begin: 02:52, Max: 03:31, End: 04:11, Mag: 0.16"
1923-03-17T12:50:45Z,Solar Eclipse (Not visible),
1923-08-26T10:39:09Z,Lunar Eclipse (Not visible),
1923-09-10T20:54:34Z,Solar Eclipse (Partial),"Begin: 20:18, Max: 20:55, End: 21:30, Mag: 0.404"
1924-02-05T01:37:53Z,Solar Eclipse (Not visible),
1924-02-20T16:08:13Z,Lunar Eclipse (Not visible),
1924-03-05T15:57:14Z,Solar Eclipse (Not visible),
1924-07-31T19:41:25Z,Solar Eclipse (Not visible),
1924-08-14T20:19:48Z,Lunar Eclipse (Total),"Begin: 18:42, Max: 20:20, End: 21:58, Mag: 1.53"
1924-08-30T08:36:20Z,Solar Eclipse (Not visible),
1925-01-24T16:09:44Z,Solar Eclipse (Partial),"Begin: 15:15, Max: 16:10, End: 17:01, Mag: 0.578"
1925-02-08T21:41:40Z,Lunar Eclipse (Partial),"Begin: 20:08, Max: 21:42, End: 23:15, Mag: 0.71"
1925-07-20T21:39:27Z,Solar Eclipse (Not visible),
1925-08-04T11:52:15Z,Lunar Eclipse (Not visible),
1926-01-14T06:34:14Z,Solar Eclipse (Not visible),
1926-07-09T23:05:57Z,Solar Eclipse (Not visible),
1927-01-03T20:27:29Z,Solar Eclipse (Not visible),
1927-06-15T08:23:59Z,Lunar Eclipse (Not visible),
1927-06-29T05:10:45Z,Solar Eclipse (Partial),"Begin: 04:15, Max: 05:11, End: 06:12, Mag: 0.748"
1927-11-24T10:08:48Z,Solar Eclipse (Not visible),
1927-12-08T17:34:28Z,Lunar Eclipse (Total),"Begin: 16:04, Max: 17:34, End: 19:05, Mag: 1.21"
1927-12-24T04:12:52Z,Solar Eclipse (Not visible),
1928-05-19T13:13:38Z,Solar Eclipse (Not visible),
1928-06-03T12:09:15Z,Lunar Eclipse (Not visible),
1928-06-17T20:41:40Z,Solar Eclipse (Not visible),
1928-11-12T08:47:07Z,Solar Eclipse (Partial),"Begin: 07:40, Max: 08:47, End: 09:58, Mag: 0.329"
1928-11-27T09:01:04Z,Lunar Eclipse (Not visible),
1929-05-09T06:06:53Z,Solar Eclipse (Not visible),
1929-11-01T11:34:22Z,Solar Eclipse (Partial),"Begin: 11:05, Max: 11:34, End: 12:04, Mag: 0.051"
1930-04-28T20:19:18Z,Solar Eclipse (Partial),"Begin: 19:30, Max: 20:19, End: 21:07, Mag: 0.749"
1930-10-07T19:06:28Z,Lunar Eclipse (Partial),"Begin: 18:51, Max: 19:06, End: 19:22, Mag: 0.02"
1930-10-21T21:47:13Z,Solar Eclipse (Not visible),
1931-03-19T07:50:13Z,Solar Eclipse (Not visible),
1931-04-02T20:07:13Z,Lunar Eclipse (Total),"Begin: 18:37, Max: 20:07, End: 21:38, Mag: 1.35"
1931-04-18T00:53:29Z,Solar Eclipse (Partial),"Begin: 00:14, Max: 00:53, End: 01:33, Mag: 0.344"
1931-09-12T04:26:02Z,Solar Eclipse (Not visible),
1931-09-26T19:47:47Z,Lunar Eclipse (Total),"Begin: 17:52, Max: 19:48, End: 21:44, Mag: 1.28"
1931-10-11T13:05:33Z,Solar Eclipse (Not visible),
1932-03-07T07:43:55Z,Solar Eclipse (Not visible),
1932-03-22T12:31:57Z,Lunar Eclipse (Not visible),
1932-08-31T20:04:54Z,Solar Eclipse (Partial),"Begin: 19:17, Max: 20:05, End: 20:51, Mag: 0.854"
1932-09-14T21:00:18Z,Lunar Eclipse (Partial),"Begin: 19:20, Max: 21:00, End: 22:41, Mag: 0.92"
1933-02-24T12:43:32Z,Solar Eclipse (Not visible),
1933-08-21T04:06:20Z,Solar Eclipse (Partial),"Begin: 03:16, Max: 04:06, End: 05:00, Mag: 0.467"
1934-01-30T16:42:00Z,Lunar Eclipse (Partial),"Begin: 15:56, Max: 16:42, End: 17:28, Mag: 0.14"
1934-02-14T00:35:12Z,Solar Eclipse (Partial),"Begin: 23:52, Max: 00:35, End: 01:20, Mag: 0.726"
1934-07-26T12:14:56Z,Lunar Eclipse (Not visible),
1934-08-10T08:45:14Z,Solar Eclipse (Not visible),
1935-01-05T05:19:46Z,Solar Eclipse (Not visible),
1935-01-19T15:46:53Z,Lunar Eclipse (Total),"Begin: 13:51, Max: 15:47, End: 17:43, Mag: 1.32"
1935-02-03T16:27:00Z,Solar Eclipse (Not visible),
1935-06-30T20:27:57Z,Solar Eclipse (Partial),"Begin: 19:55, Max: 20:28, End: 21:00, Mag: 0.242"
1935-07-16T04:59:22Z,Lunar Eclipse (Not visible),
1935-07-30T09:32:04Z,Solar Eclipse (Not visible),
1935-12-25T17:49:06Z,Solar Eclipse (Not visible),
1936-01-08T18:09:15Z,Lunar Eclipse (Partial),"Begin: 16:32, Max: 18:09, End: 19:47, Mag: 0.95"
1936-06-19T04:03:54Z,Solar Eclipse (Partial),"Begin: 03:12, Max: 04:04, End: 04:59, Mag: 0.773"
1936-07-04T17:24:41Z,Lunar Eclipse (Not visible),
1936-12-13T23:24:33Z,Solar Eclipse (Not visible),
1937-06-08T20:42:37Z,Solar Eclipse (Not visible),
1937-12-02T22:55:08Z,Solar Eclipse (Annular),"Begin: 22:04, Max: 22:55, End: 23:46, Mag: 0.923"
1938-05-14T08:43:18Z,Lunar Eclipse (Not visible),
1938-05-29T13:59:14Z,Solar Eclipse (Not visible),
1938-11-07T22:26:00Z,Lunar Eclipse (Total),"Begin: 20:50, Max: 22:26, End: 00:02, Mag: 1.23"
1938-11-22T00:04:22Z,Solar Eclipse (Not visible),
1939-04-19T18:18:26Z,Solar Eclipse (Partial),"Begin: 17:34, Max: 18:18, End: 19:00, Mag: 0.353"
1939-05-03T15:11:00Z,Lunar Eclipse (Not visible),
1939-10-12T20:29:47Z,Solar Eclipse (Not visible),
1939-10-28T06:36:01Z,Lunar Eclipse (Not visible),
1940-04-07T21:13:19Z,Solar Eclipse (Partial),"Begin: 20:45, Max: 21:13, End: 21:41, Mag: 0.157"
1940-10-01T12:40:47Z,Solar Eclipse (Not visible),
1941-03-13T11:55:04Z,Lunar Eclipse (Not visible),
1941-03-27T20:13:25Z,Solar Eclipse (Not visible),
1941-09-21T03:06:45Z,Solar Eclipse (Partial),"Begin: 02:17, Max: 03:07, End: 03:59, Mag: 0.922"
1942-02-15T10:02:12Z,Solar Eclipse (Not visible),
1942-03-03T00:21:12Z,Lunar Eclipse (Total),"Begin: 22:38, Max: 00:21, End: 02:04, Mag: 1.46"
1942-03-16T23:49:36Z,Solar Eclipse (Not visible),
1942-08-12T02:27:23Z,Solar Eclipse (Not visible),
1942-08-26T03:47:43Z,Lunar Eclipse (Total),"Begin: 02:11, Max: 03:48, End: 05:24, Mag: 1.40"
1942-09-10T16:28:09Z,Solar Eclipse (Partial),"Begin: 15:39, Max: 16:28, End: 17:14, Mag: 0.344"
1943-02-04T23:38:13Z,Solar Eclipse (Partial),"Begin: 23:04, Max: 23:38, End: 00:12, Mag: 0.371"
1943-02-20T05:37:41Z,Lunar Eclipse (Partial),"Begin: 04:02, Max: 05:38, End: 07:13, Mag: 0.74"
1943-08-01T04:05:59Z,Solar Eclipse (Not visible),
1943-08-15T19:28:04Z,Lunar Eclipse (Partial),"Begin: 18:16, Max: 19:28, End: 20:40, Mag: 0.66"
1944-01-25T16:49:44Z,Solar Eclipse (Partial),"Begin: 16:11, Max: 16:50, End: 17:26, Mag: 0.270"
1944-07-20T05:42:09Z,Solar Eclipse (Not visible),
1945-01-14T05:06:19Z,Solar Eclipse (Not visible),
1945-06-25T15:13:39Z,Lunar Eclipse (Not visible),
1945-07-09T14:28:28Z,Solar Eclipse (Partial),"Begin: 13:18, Max: 14:28, End: 15:32, Mag: 0.652"
1945-12-19T02:20:05Z,Lunar Eclipse (Total),"Begin: 00:50, Max: 02:20, End: 03:50, Mag: 1.20"
