datetime,event,details
1985-10-28T17:42:22Z,Lunar Eclipse (Total),"Begin: 15:52, Max: 17:42, End: 19:33, Mag: 1.05"
1985-11-12T14:20:20Z,Solar Eclipse (Not visible),
1986-04-09T06:08:08Z,Solar Eclipse (Not visible),
1986-04-24T12:42:35Z,Lunar Eclipse (Not visible),
1986-10-03T19:16:07Z,Solar Eclipse (Partial),"Begin: 18:26, Max: 19:16, End: 20:04, Mag: 0.754"
1986-10-17T19:17:59Z,Lunar Eclipse (Total),"Begin: 17:32, Max: 19:18, End: 21:04, Mag: 1.18"
1987-03-29T12:45:33Z,Solar Eclipse (Not visible),
1987-09-23T01:42:21Z,Solar Eclipse (Partial),"Begin: 00:51, Max: 01:42, End: 02:36, Mag: 0.755"
1988-03-03T16:12:46Z,Lunar Eclipse (Not visible),
1988-03-18T01:47:42Z,Solar Eclipse (Partial),"Begin: 01:21, Max: 01:48, End: 02:15, Mag: 0.178"
1988-08-27T11:04:34Z,Lunar Eclipse (Not visible),
1988-09-11T04:49:08Z,Solar Eclipse (Not visible),
1989-02-06T07:36:58Z,Solar Eclipse (Not visible),
1989-02-20T15:35:22Z,Lunar Eclipse (Not visible),
1989-03-07T18:18:40Z,Solar Eclipse (Not visible),
1989-08-01T16:05:36Z,Solar Eclipse (Not visible),
1989-08-17T03:08:11Z,Lunar Eclipse (Total),"Begin: 01:32, Max: 03:08, End: 04:44, Mag: 1.47"
1989-08-31T05:44:31Z,Solar Eclipse (Not visible),
1990-01-26T19:20:02Z,Solar Eclipse (Not visible),
1990-02-09T19:11:05Z,Lunar Eclipse (Partial),"Begin: 17:34, Max: 19:11, End: 20:48, Mag: 0.99"
1990-07-22T01:46:09Z,Solar Eclipse (Partial),"Begin: 01:00, Max: 01:46, End: 02:34, Mag: 0.856"
1990-08-06T14:12:18Z,Lunar Eclipse (Not visible),
1991-01-15T23:49:39Z,Solar Eclipse (Not visible),
1991-07-11T19:06:05Z,Solar Eclipse (Not visible),
1992-01-04T23:08:03Z,Solar Eclipse (Annular),"Begin: 22:17, Max: 23:08, End: 00:00, Mag: 0.930"
1992-06-15T04:56:59Z,Lunar Eclipse (Not visible),
1992-06-30T12:18:02Z,Solar Eclipse (Not visible),
1992-12-09T23:44:06Z,Lunar Eclipse (Total),"Begin: 22:08, Max: 23:44, End: 01:20, Mag: 1.16"
1992-12-24T00:42:51Z,Solar Eclipse (Not visible),
1993-05-21T14:06:31Z,Solar Eclipse (Not visible),
1993-06-04T13:00:27Z,Lunar Eclipse (Not visible),
1993-06-20T01:52:27Z,Solar Eclipse (Not visible),
1993-11-13T21:34:20Z,Solar Eclipse (Not visible),
1993-11-29T06:26:05Z,Lunar Eclipse (Not visible),
1994-05-10T18:33:43Z,Solar Eclipse (Partial),"Begin: 17:41, Max: 18:34, End: 19:23, Mag: 0.494"
1994-05-25T03:30:20Z,Lunar Eclipse (Not visible),
1994-11-03T13:35:29Z,Solar Eclipse (Not visible),
1995-04-29T17:36:19Z,Solar Eclipse (Not visible),
1995-10-24T03:08:03Z,Solar Eclipse (Partial),"Begin: 02:19, Max: 03:08, End: 04:00, Mag: 0.752"
1996-04-04T00:09:45Z,Lunar Eclipse (Total),"Begin: 22:27, Max: 00:10, End: 01:53, Mag: 1.29"
1996-04-17T22:48:45Z,Solar Eclipse (Not visible),
1996-09-12T23:07:17Z,Solar Eclipse (Not visible),
1996-09-27T02:54:23Z,Lunar Eclipse (Total),"Begin: 01:25, Max: 02:54, End: 04:24, Mag: 1.09"
1996-10-12T14:42:53Z,Solar Eclipse (Partial),"Begin: 13:31, Max: 14:43, End: 15:49, Mag: 0.604"
1997-03-09T01:09:15Z,Solar Eclipse (Partial),"Begin: 00:27, Max: 01:09, End: 01:53, Mag: 0.728"
1997-03-24T04:39:26Z,Lunar Eclipse (Partial),"Begin: 02:56, Max: 04:39, End: 06:22, Mag: 0.89"
1997-09-01T23:51:34Z,Solar Eclipse (Not visible),
1997-09-16T18:46:39Z,Lunar Eclipse (Total),"Begin: 17:24, Max: 18:47, End: 20:10, Mag: 1.01"
1998-02-26T18:47:51Z,Solar Eclipse (Partial),"Begin: 18:03, Max: 18:48, End: 19:30, Mag: 0.552"
1998-08-22T02:03:06Z,Solar Eclipse (Not visible),
1999-02-16T06:38:41Z,Solar Eclipse (Not visible),
1999-07-28T11:33:42Z,Lunar Eclipse (Not visible),
1999-08-11T10:51:33Z,Solar Eclipse (Partial),"Begin: 09:28, Max: 10:52, End: 12:14, Mag: 0.992"
2000-01-21T04:43:30Z,Lunar Eclipse (Total),"Begin: 03:15, Max: 04:44, End: 06:12, Mag: 1.17"
2000-02-05T13:03:16Z,Solar Eclipse (Not visible),
2000-07-01T19:19:55Z,Solar Eclipse (Not visible),
2000-07-16T13:55:35Z,Lunar Eclipse (Not visible),
2000-07-31T01:14:20Z,Solar Eclipse (Partial),"Begin: 00:48, Max: 01:14, End: 01:41, Mag: 0.203"
2000-12-25T18:34:04Z,Solar Eclipse (Partial),"Begin: 18:17, Max: 18:34, End: 18:51, Mag: 0.040"
2001-01-09T20:20:35Z,Lunar Eclipse (Total),"Begin: 18:57, Max: 20:21, End: 21:44, Mag: 1.02"
2001-06-21T11:57:45Z,Solar Eclipse (Not visible),
2001-07-05T14:55:19Z,Lunar Eclipse (Not visible),
2001-12-14T21:12:40Z,Solar Eclipse (Partial),"Begin: 20:24, Max: 21:13, End: 22:01, Mag: 0.884"
2002-06-10T23:46:31Z,Solar Eclipse (Not visible),
2002-12-04T07:34:22Z,Solar Eclipse (Not visible),
2003-05-16T03:40:09Z,Lunar Eclipse (Not visible),
2003-05-31T03:17:52Z,Solar Eclipse (Partial),"Begin: 02:23, Max: 03:18, End: 04:16, Mag: 0.810"
2003-11-09T01:18:34Z,Lunar Eclipse (Total),"Begin: 23:30, Max: 01:19, End: 03:07, Mag: 1.00"
2003-11-23T22:58:57Z,Solar Eclipse (Not visible),
2004-04-19T13:21:12Z,Solar Eclipse (Not visible),
2004-05-04T20:30:13Z,Lunar Eclipse (Total),"Begin: 19:02, Max: 20:30, End: 21:58, Mag: 1.14"
2004-05-19T04:51:56Z,Solar Eclipse (Not visible),
2004-10-14T02:48:16Z,Solar Eclipse (Not visible),
2004-10-28T03:04:07Z,Lunar Eclipse (Total),"Begin: 01:17, Max: 03:04, End: 04:51, Mag: 1.24"
2005-04-08T20:32:01Z,Solar Eclipse (Not visible),
2005-10-03T09:20:39Z,Solar Eclipse (Partial),"Begin: 08:05, Max: 09:21, End: 10:40, Mag: 0.531"
2006-03-29T10:51:13Z,Solar Eclipse (Partial),"Begin: 09:44, Max: 10:51, End: 11:58, Mag: 0.596"
2006-09-22T11:45:03Z,Solar Eclipse (Not visible),
2007-02-17T16:14:18Z,Solar Eclipse (Not visible),
2007-03-03T23:20:54Z,Lunar Eclipse (Total),"Begin: 21:29, Max: 23:21, End: 01:13, Mag: 1.20"
2007-03-19T02:21:18Z,Solar Eclipse (Partial),"Begin: 01:37, Max: 02:21, End: 03:07, Mag: 0.681"
2007-08-12T23:02:31Z,Solar Eclipse (Not visible),
2007-08-28T10:37:22Z,Lunar Eclipse (Not visible),
2007-09-11T12:44:14Z,Solar Eclipse (Not visible),
2008-02-07T03:44:31Z,Solar Eclipse (Not visible),
2008-02-21T03:26:04Z,Lunar Eclipse (Total),"Begin: 01:49, Max: 03:26, End: 05:03, Mag: 1.02"
2008-08-01T09:50:20Z,Solar Eclipse (Partial),"Begin: 09:03, Max: 09:50, End: 10:38, Mag: 0.196"
2008-08-16T21:10:07Z,Lunar Eclipse (Partial),"Begin: 19:41, Max: 21:10, End: 22:39, Mag: 0.73"
2009-01-26T07:55:17Z,Solar Eclipse (Not visible),
2009-07-22T02:34:36Z,Solar Eclipse (Not visible),
2010-01-15T06:13:20Z,Solar Eclipse (Partial),"Begin: 05:39, Max: 06:13, End: 06:50, Mag: 0.096"
2010-06-26T11:38:28Z,Lunar Eclipse (Not visible),
2010-07-11T19:40:27Z,Solar Eclipse (Not visible),
2010-12-21T08:16:58Z,Lunar Eclipse (Not visible),
2011-01-04T08:27:30Z,Solar Eclipse (Partial),"Begin: 07:05, Max: 08:28, End: 09:58, Mag: 0.778"
2011-06-01T21:41:47Z,Solar Eclipse (Partial),"Begin: 21:01, Max: 21:42, End: 22:22, Mag: 0.460"
2011-06-15T20:12:37Z,Lunar Eclipse (Total),"Begin: 18:32, Max: 20:13, End: 21:53, Mag: 1.58"
2011-07-01T08:53:56Z,Solar Eclipse (Not visible),
2011-11-25T06:09:41Z,Solar Eclipse (Not visible),
2011-12-10T14:31:50Z,Lunar Eclipse (Not visible),
2012-05-20T23:43:06Z,Solar Eclipse (Partial),"Begin: 23:12, Max: 23:43, End: 00:15, Mag: 0.208"
2012-06-04T11:03:14Z,Lunar Eclipse (Not visible),
2012-11-13T22:08:00Z,Solar Eclipse (Not visible),
2013-05-10T00:28:23Z,Solar Eclipse (Not visible),
2013-11-03T12:49:57Z,Solar Eclipse (Not visible),
2014-04-15T07:45:40Z,Lunar Eclipse (Not visible),
2014-04-29T06:14:21Z,Solar Eclipse (Not visible),
2014-10-08T10:54:37Z,Lunar Eclipse (Not visible),
2014-10-23T21:39:03Z,Solar Eclipse (Partial),"Begin: 21:14, Max: 21:39, End: 22:03, Mag: 0.130"
2015-03-20T09:48:29Z,Solar Eclipse (Partial),"Begin: 08:39, Max: 09:48, End: 11:00, Mag: 0.660"
2015-04-04T12:00:16Z,Lunar Eclipse (Not visible),
2015-09-13T06:41:16Z,Solar Eclipse (Not visible),
2015-09-28T02:47:09Z,Lunar Eclipse (Total),"Begin: 01:22, Max: 02:47, End: 04:12, Mag: 1.10"
2016-03-09T01:32:05Z,Solar Eclipse (Partial),"Begin: 01:22, Max: 01:32, End: 01:42, Mag: 0.024"
2016-09-01T09:03:06Z,Solar Eclipse (Not visible),
2017-02-26T14:58:22Z,Solar Eclipse (Not visible),
2017-08-07T18:20:29Z,Lunar Eclipse (Partial),"Begin: 17:27, Max: 18:20, End: 19:14, Mag: 0.21"
2017-08-21T19:02:04Z,Solar Eclipse (Partial),"Begin: 18:38, Max: 19:02, End: 19:26, Mag: 0.126"
2018-01-31T13:29:51Z,Lunar Eclipse (Not visible),
2018-02-15T21:05:12Z,Solar Eclipse (Not visible),
2018-07-13T02:47:52Z,Solar Eclipse (Not visible),
2018-07-27T20:21:45Z,Lunar Eclipse (Total),"Begin: 18:22, Max: 20:22, End: 22:21, Mag: 1.55"
2018-08-11T09:57:44Z,Solar Eclipse (Not visible),
2019-01-06T01:28:11Z,Solar Eclipse (Not visible),
2019-01-21T05:12:18Z,Lunar Eclipse (Total),"Begin: 03:48, Max: 05:12, End: 06:36, Mag: 1.03"
2019-07-02T19:16:13Z,Solar Eclipse (Not visible),
2019-07-16T21:30:46Z,Lunar Eclipse (Partial),"Begin: 20:03, Max: 21:31, End: 22:59, Mag: 0.62"
2019-12-26T03:57:06Z,Solar Eclipse (Partial),"Begin: 03:03, Max: 03:57, End: 04:54, Mag: 0.698"
2020-06-21T06:41:27Z,Solar Eclipse (Not visible),
2020-12-14T16:16:35Z,Solar Eclipse (Not visible),
2021-05-26T11:18:44Z,Lunar Eclipse (Not visible),
2021-06-10T10:45:39Z,Solar Eclipse (Partial),"Begin: 10:05, Max: 10:46, End: 11:27, Mag: 0.080"
2021-11-19T09:02:57Z,Lunar Eclipse (Not visible),
2021-12-04T07:43:02Z,Solar Eclipse (Not visible),
2022-04-30T20:28:06Z,Solar Eclipse (Not visible),
2022-05-16T04:11:32Z,Lunar Eclipse (Not visible),
2022-05-30T11:30:17Z,Solar Eclipse (Not visible),
2022-10-25T10:24:58Z,Solar Eclipse (Partial),"Begin: 09:18, Max: 10:25, End: 11:33, Mag: 0.440"
2022-11-08T10:59:13Z,Lunar Eclipse (Not visible),
2023-04-20T04:12:32Z,Solar Eclipse (Not visible),
2023-10-14T18:29:13Z,Solar Eclipse (Partial),"Begin: 18:02, Max: 18:29, End: 18:56, Mag: 0.112"
2024-04-08T19:39:15Z,Solar Eclipse (Partial),"Begin: 18:52, Max: 19:39, End: 20:24, Mag: 0.780"
2024-10-02T18:49:17Z,Solar Eclipse (Not visible),
2025-03-14T06:58:47Z,Lunar Eclipse (Not visible),
2025-03-29T11:20:34Z,Solar Eclipse (Partial),"Begin: 10:51, Max: 11:21, End: 11:50, Mag: 0.084"
2025-09-07T18:11:49Z,Lunar Eclipse (Total),"Begin: 16:38, Max: 18:12, End: 19:46, Mag: 1.23"
2025-09-21T19:54:08Z,Solar Eclipse (Not visible),
2026-02-17T12:01:09Z,Solar Eclipse (Not visible),
2026-03-03T11:33:43Z,Lunar Eclipse (Not visible),
2026-08-12T18:13:43Z,Solar Eclipse (Partial),"Begin: 17:23, Max: 18:14, End: 19:03, Mag: 0.895"
2026-08-28T04:12:55Z,Lunar Eclipse (Not visible),
2027-02-06T15:56:07Z,Solar Eclipse (Not visible),
2027-08-02T09:20:51Z,Solar Eclipse (Partial),"Begin: 08:17, Max: 09:21, End: 10:27, Mag: 0.566"
2028-01-26T16:52:17Z,Solar Eclipse (Partial),"Begin: 15:44, Max: 16:52, End: 17:55, Mag: 0.898"
2028-07-06T18:19:48Z,Lunar Eclipse (Not visible),
2028-07-22T03:01:43Z,Solar Eclipse (Not visible),
2028-12-31T16:52:06Z,Lunar Eclipse (Total),"Begin: 15:15, Max: 16:52, End: 18:29, Mag: 1.14"
2029-01-14T17:24:31Z,Solar Eclipse (Not visible),
2029-06-12T02:48:02Z,Solar Eclipse (Partial),"Begin: 02:27, Max: 02:48, End: 03:09, Mag: 0.076"
2029-06-26T03:22:13Z,Lunar Eclipse (Not visible),
2029-07-11T15:51:04Z,Solar Eclipse (Not visible),
2029-12-05T14:52:08Z,Solar Eclipse (Not visible),
2029-12-20T22:42:03Z,Lunar Eclipse (Total),"Begin: 20:55, Max: 22:42, End: 00:29, Mag: 1.08"
2030-06-01T05:13:36Z,Solar Eclipse (Partial),"Begin: 04:09, Max: 05:14, End: 06:25, Mag: 0.779"
2030-06-15T18:33:24Z,Lunar Eclipse (Not visible),
2030-11-25T06:46:30Z,Solar Eclipse (Not visible),
2031-05-21T07:17:14Z,Solar Eclipse (Not visible),
2031-11-14T21:20:18Z,Solar Eclipse (Partial),"Begin: 20:38, Max: 21:20, End: 22:02, Mag: 0.612"
2032-04-25T15:13:41Z,Lunar Eclipse (Not visible),
2032-05-09T13:35:45Z,Solar Eclipse (Not visible),
2032-10-18T19:02:31Z,Lunar Eclipse (Partial),"Begin: 17:37, Max: 19:03, End: 20:28, Mag: 0.95"
2032-11-03T04:05:11Z,Solar Eclipse (Partial),"Begin: 03:46, Max: 04:05, End: 04:25, Mag: 0.047"
2033-03-30T19:20:12Z,Solar Eclipse (Partial),"Begin: 18:50, Max: 19:20, End: 19:50, Mag: 0.234"
2033-04-14T19:12:42Z,Lunar Eclipse (Total),"Begin: 17:24, Max: 19:13, End: 21:02, Mag: 1.06"
2033-09-23T13:39:48Z,Solar Eclipse (Not visible),
2033-10-08T10:55:13Z,Lunar Eclipse (Not visible),
2034-03-20T10:44:44Z,Solar Eclipse (Partial),"Begin: 09:56, Max: 10:45, End: 11:33, Mag: 0.221"
2034-09-12T16:13:50Z,Solar Eclipse (Not visible),
2035-03-09T23:09:30Z,Solar Eclipse (Not visible),
2035-08-19T01:11:06Z,Lunar Eclipse (Partial),"Begin: 00:38, Max: 01:11, End: 01:44, Mag: 0.08"
2035-09-02T00:55:54Z,Solar Eclipse (Partial),"Begin: 00:17, Max: 00:56, End: 01:35, Mag: 0.456"
2036-02-11T22:11:57Z,Lunar Eclipse (Total),"Begin: 20:45, Max: 22:12, End: 23:39, Mag: 1.14"
2036-02-27T04:59:19Z,Solar Eclipse (Not visible),
2036-07-23T10:17:03Z,Solar Eclipse (Not visible),
2036-08-07T02:51:23Z,Lunar Eclipse (Total),"Begin: 00:53, Max: 02:51, End: 04:49, Mag: 1.40"
2036-08-21T18:08:00Z,Solar Eclipse (Partial),"Begin: 17:21, Max: 18:08, End: 18:53, Mag: 0.681"
2037-01-16T09:29:52Z,Solar Eclipse (Partial),"Begin: 08:03, Max: 09:30, End: 11:03, Mag: 0.592"
2037-01-31T14:00:29Z,Lunar Eclipse (Not visible),
2037-07-13T02:31:51Z,Solar Eclipse (Not visible),
2037-07-27T04:08:44Z,Lunar Eclipse (Not visible),
2038-01-05T14:59:58Z,Solar Eclipse (Partial),"Begin: 14:04, Max: 15:00, End: 15:52, Mag: 0.322"
2038-07-02T14:28:45Z,Solar Eclipse (Partial),"Begin: 13:50, Max: 14:29, End: 15:05, Mag: 0.130"
2038-12-26T01:02:01Z,Solar Eclipse (Not visible),
2039-06-06T18:53:16Z,Lunar Eclipse (Partial),"Begin: 17:41, Max: 18:53, End: 20:06, Mag: 0.68"
2039-06-21T18:33:14Z,Solar Eclipse (Partial),"Begin: 17:34, Max: 18:33, End: 19:28, Mag: 0.798"
2039-11-30T16:55:19Z,Lunar Eclipse (Partial),"Begin: 15:09, Max: 16:55, End: 18:41, Mag: 0.93"
2039-12-15T16:32:06Z,Solar Eclipse (Not visible),
2040-05-11T03:27:56Z,Solar Eclipse (Not visible),
2040-05-26T11:45:13Z,Lunar Eclipse (Not visible),
2040-06-09T18:03:08Z,Solar Eclipse (Not visible),
2040-11-04T19:26:16Z,Solar Eclipse (Partial),"Begin: 18:49, Max: 19:26, End: 20:03, Mag: 0.306"
2040-11-18T19:03:31Z,Lunar Eclipse (Total),"Begin: 17:17, Max: 19:04, End: 20:51, Mag: 1.32"
2041-04-30T11:46:24Z,Solar Eclipse (Not visible),
2041-10-25T00:29:09Z,Solar Eclipse (Partial),"Begin: 23:38, Max: 00:29, End: 01:21, Mag: 0.913"
2042-04-20T02:19:23Z,Solar Eclipse (Not visible),
2042-10-14T02:03:11Z,Solar Eclipse (Not visible),
2043-03-25T14:30:54Z,Lunar Eclipse (Not visible),
2043-04-09T20:18:03Z,Solar Eclipse (Partial),"Begin: 19:58, Max: 20:18, End: 20:37, Mag: 0.096"
2043-09-19T01:50:41Z,Lunar Eclipse (Total),"Begin: 00:18, Max: 01:51, End: 03:23, Mag: 1.12"
2043-10-03T03:12:14Z,Solar Eclipse (Not visible),
2044-02-28T20:12:27Z,Solar Eclipse (Not visible),
2044-03-13T19:37:23Z,Lunar Eclipse (Total),"Begin: 17:59, Max: 19:37, End: 21:15, Mag: 1.11"
2044-08-23T00:09:58Z,Solar Eclipse (Partial),"Begin: 23:33, Max: 00:10, End: 00:47, Mag: 0.425"
2044-09-07T11:19:35Z,Lunar Eclipse (Not visible),
2045-02-16T23:51:13Z,Solar Eclipse (Not visible),
2045-08-12T17:39:21Z,Solar Eclipse (Not visible),
2046-02-05T23:20:56Z,Solar Eclipse (Partial),"Begin: 22:31, Max: 23:21, End: 00:12, Mag: 0.731"
2046-07-18T01:04:56Z,Lunar Eclipse (Partial),"Begin: 00:14, Max: 01:05, End: 01:56, Mag: 0.19"
2046-08-02T10:25:35Z,Solar Eclipse (Not visible),
2047-01-12T01:25:05Z,Lunar Eclipse (Total),"Begin: 23:48, Max: 01:25, End: 03:02, Mag: 1.13"
2047-01-26T01:16:38Z,Solar Eclipse (Partial),"Begin: 00:44, Max: 01:17, End: 01:50, Mag: 0.231"
2047-06-23T10:35:56Z,Solar Eclipse (Not visible),
2047-07-07T10:34:36Z,Lunar Eclipse (Not visible),
2047-07-22T22:49:26Z,Solar Eclipse (Not visible),
2047-12-16T23:38:21Z,Solar Eclipse (Not visible),
2048-01-01T06:52:46Z,Lunar Eclipse (Not visible),
2048-06-11T13:58:05Z,Solar Eclipse (Partial),"Begin: 12:29, Max: 13:58, End: 15:16, Mag: 0.743"
2048-06-26T02:01:19Z,Lunar Eclipse (Partial),"Begin: 01:02, Max: 02:01, End: 03:01, Mag: 0.42"
2048-12-05T15:30:13Z,Solar Eclipse (Not visible),
2049-05-31T14:00:13Z,Solar Eclipse (Not visible),
2049-11-25T04:10:05Z,Solar Eclipse (Partial),"Begin: 03:24, Max: 04:10, End: 04:59, Mag: 0.441"
2050-05-06T22:30:53Z,Lunar Eclipse (Partial),"Begin: 20:53, Max: 22:31, End: 00:09, Mag: 0.99"
2050-05-20T20:51:06Z,Solar Eclipse (Not visible),
2050-10-30T03:20:37Z,Lunar Eclipse (Partial),"Begin: 01:57, Max: 03:21, End: 04:44, Mag: 0.89"
2050-11-14T14:18:10Z,Solar Eclipse (Partial),"Begin: 12:57, Max: 14:18, End: 15:31, Mag: 0.707"
2051-04-11T01:45:40Z,Solar Eclipse (Partial),"Begin: 01:02, Max: 01:46, End: 02:31, Mag: 0.793"
2051-04-26T02:15:19Z,Lunar Eclipse (Total),"Begin: 00:23, Max: 02:15, End: 04:07, Mag: 1.16"
2051-05-10T10:29:17Z,Solar Eclipse (Not visible),
2051-10-04T20:46:58Z,Solar Eclipse (Not visible),
2051-10-19T19:10:40Z,Lunar Eclipse (Total),"Begin: 17:43, Max: 19:11, End: 20:38, Mag: 1.25"
2051-11-03T14:59:25Z,Solar Eclipse (Not visible),
2052-03-30T19:41:51Z,Solar Eclipse (Partial),"Begin: 19:00, Max: 19:42, End: 20:22, Mag: 0.522"
2052-09-22T23:32:57Z,Solar Eclipse (Not visible),
2053-03-20T07:11:39Z,Solar Eclipse (Not visible),
2053-09-12T08:31:50Z,Solar Eclipse (Partial),"Begin: 07:26, Max: 08:32, End: 09:42, Mag: 0.562"
2054-02-22T06:50:18Z,Lunar Eclipse (Not visible),
2054-03-09T12:45:57Z,Solar Eclipse (Not visible),
2054-08-03T17:48:21Z,Solar Eclipse (Not visible),
2054-08-18T09:25:21Z,Lunar Eclipse (Not visible),
2054-09-02T00:15:57Z,Solar Eclipse (Partial),"Begin: 23:41, Max: 00:16, End: 00:51, Mag: 0.411"
2055-01-27T17:39:35Z,Solar Eclipse (Not visible),
2055-02-11T22:45:09Z,Lunar Eclipse (Total),"Begin: 21:20, Max: 22:45, End: 00:10, Mag: 1.06"
2055-07-24T09:48:16Z,Solar Eclipse (Not visible),
2055-08-07T10:52:09Z,Lunar Eclipse (Not visible),
2056-01-16T22:28:24Z,Solar Eclipse (Partial),"Begin: 21:41, Max: 22:28, End: 23:15, Mag: 0.943"
2056-07-12T20:20:21Z,Solar Eclipse (Not visible),
2057-01-05T09:49:41Z,Solar Eclipse (Not visible),
2057-06-17T02:25:11Z,Lunar Eclipse (Partial),"Begin: 01:19, Max: 02:25, End: 03:31, Mag: 0.54"
2057-07-01T23:27:48Z,Solar Eclipse (Partial),"Begin: 22:41, Max: 23:28, End: 00:15, Mag: 0.637"
2057-12-11T00:52:29Z,Lunar Eclipse (Partial),"Begin: 23:08, Max: 00:52, End: 02:37, Mag: 0.91"
2057-12-26T01:22:52Z,Solar Eclipse (Not visible),
2058-05-22T10:23:43Z,Solar Eclipse (Not visible),
2058-06-06T19:14:39Z,Lunar Eclipse (Total),"Begin: 17:40, Max: 19:15, End: 20:49, Mag: 1.52"
2058-06-21T00:02:29Z,Solar Eclipse (Partial),"Begin: 23:49, Max: 00:02, End: 00:16, Mag: 0.037"
2058-11-16T03:09:51Z,Solar Eclipse (Not visible),
2058-11-30T03:15:09Z,Lunar Eclipse (Total),"Begin: 01:28, Max: 03:15, End: 05:02, Mag: 1.35"
2059-05-11T19:15:43Z,Solar Eclipse (Not visible),
2059-05-27T07:54:25Z,Lunar Eclipse (Not visible),
2059-11-05T07:47:38Z,Solar Eclipse (Partial),"Begin: 06:32, Max: 07:48, End: 09:10, Mag: 0.689"
2059-11-19T13:00:27Z,Lunar Eclipse (Not visible),
2060-04-30T10:33:26Z,Solar Eclipse (Partial),"Begin: 09:29, Max: 10:33, End: 11:38, Mag: 0.529"
2060-10-24T09:26:11Z,Solar Eclipse (Not visible),
2061-04-04T21:52:56Z,Lunar Eclipse (Partial),"Begin: 20:08, Max: 21:53, End: 23:38, Mag: 0.99"
2061-04-20T02:37:41Z,Solar Eclipse (Total),"Begin: 01:51, Max: 02:38, End: 03:26, Mag: 1.009"
2061-09-29T09:37:04Z,Lunar Eclipse (Not visible),
2061-10-13T10:42:02Z,Solar Eclipse (Not visible),
2062-03-11T04:13:43Z,Solar Eclipse (Not visible),
2062-03-25T03:32:41Z,Lunar Eclipse (Total),"Begin: 01:54, Max: 03:33, End: 05:11, Mag: 1.17"
2062-09-03T08:42:59Z,Solar Eclipse (Not visible),
2062-09-18T18:32:53Z,Lunar Eclipse (Total),"Begin: 16:49, Max: 18:33, End: 20:16, Mag: 1.08"
2062-10-02T18:50:17Z,Solar Eclipse (Not visible),
2063-02-28T07:38:20Z,Solar Eclipse (Not visible),
2063-08-24T00:21:48Z,Solar Eclipse (Partial),"Begin: 23:49, Max: 00:22, End: 00:55, Mag: 0.341"
2064-02-17T07:03:33Z,Solar Eclipse (Not visible),
2064-07-28T07:51:39Z,Lunar Eclipse (Not visible),
2064-08-12T17:49:46Z,Solar Eclipse (Not visible),
2065-01-22T09:57:49Z,Lunar Eclipse (Not visible),
2065-02-05T10:14:22Z,Solar Eclipse (Partial),"Begin: 08:51, Max: 10:14, End: 11:38, Mag: 0.678"
2065-07-03T17:16:20Z,Solar Eclipse (Not visible),
2065-07-17T17:47:31Z,Lunar Eclipse (Not visible),
2065-08-02T05:46:47Z,Solar Eclipse (Not visible),
2065-12-27T08:28:03Z,Solar Eclipse (Not visible),
2066-01-11T15:03:38Z,Lunar Eclipse (Not visible),
2066-06-22T20:03:51Z,Solar Eclipse (Partial),"Begin: 19:13, Max: 20:04, End: 20:53, Mag: 0.644"
2066-07-07T09:29:20Z,Lunar Eclipse (Not visible),
2066-12-17T00:18:22Z,Solar Eclipse (Not visible),
2067-06-11T20:41:44Z,Solar Eclipse (Not visible),
2067-12-06T15:17:11Z,Solar Eclipse (Partial),"Begin: 14:47, Max: 15:17, End: 15:46, Mag: 0.102"
2068-05-17T05:41:08Z,Lunar Eclipse (Not visible),
2068-05-31T04:04:07Z,Solar Eclipse (Not visible),
2068-11-09T11:45:51Z,Lunar Eclipse (Not visible),
2068-11-24T21:40:38Z,Solar Eclipse (Partial),"Begin: 21:37, Max: 21:41, End: 21:45, Mag: 0.003"
2069-04-21T10:09:16Z,Solar Eclipse (Partial),"Begin: 09:38, Max: 10:09, End: 10:41, Mag: 0.090"
2069-05-06T09:08:47Z,Lunar Eclipse (Not visible),
2069-05-20T18:06:50Z,Solar Eclipse (Not visible),
2069-10-15T04:04:12Z,Solar Eclipse (Not visible),
2069-10-30T03:33:57Z,Lunar Eclipse (Total),"Begin: 02:05, Max: 03:34, End: 05:03, Mag: 1.30"
2069-11-13T22:38:35Z,Solar Eclipse (Not visible),
2070-04-11T02:31:13Z,Solar Eclipse (Not visible),
2070-10-04T07:02:14Z,Solar Eclipse (Not visible),
2071-03-31T15:04:04Z,Solar Eclipse (Not visible),
2071-09-23T17:22:05Z,Solar Eclipse (Not visible),
2072-03-04T15:21:58Z,Lunar Eclipse (Not visible),
2072-03-19T20:22:30Z,Solar Eclipse (Not visible),
2072-08-14T01:21:57Z,Solar Eclipse (Not visible),
2072-08-28T16:04:33Z,Lunar Eclipse (Not visible),
2072-09-12T07:56:06Z,Solar Eclipse (Partial),"Begin: 07:16, Max: 07:56, End: 08:37, Mag: 0.185"
2073-02-07T01:27:38Z,Solar Eclipse (Partial),"Begin: 01:06, Max: 01:28, End: 01:50, Mag: 0.082"
2073-02-22T07:23:44Z,Lunar Eclipse (Not visible),
2073-08-03T17:05:00Z,Solar Eclipse (Not visible),
2073-08-17T17:41:32Z,Lunar Eclipse (Not visible),
2074-01-27T05:38:52Z,Solar Eclipse (Partial),"Begin: 04:55, Max: 05:39, End: 06:26, Mag: 0.261"
2074-07-24T03:07:58Z,Solar Eclipse (Not visible),
