datetime,event,details
1950-07-05T22:30:26Z,Earth Aphelion,152098453.35 km
1951-01-02T03:51:00Z,Earth Perihelion,147098650.52 km
1951-07-04T20:53:24Z,Earth Aphelion,152106599.67 km
1952-01-04T20:40:53Z,Earth Perihelion,147095987.03 km
1952-07-03T02:17:44Z,Earth Aphelion,152100344.74 km
1953-01-02T06:37:10Z,Earth Perihelion,147091211.94 km
1953-07-05T18:18:31Z,Earth Aphelion,152097976.10 km
1954-01-02T08:18:28Z,Earth Perihelion,147102379.12 km
1954-07-03T19:53:27Z,Earth Aphelion,152098313.46 km
1955-01-04T12:20:22Z,Earth Perihelion,147093048.44 km
1955-07-04T22:03:53Z,Earth Aphelion,152095264.79 km
1956-01-02T13:23:16Z,Earth Perihelion,147092576.93 km
1956-07-05T01:12:14Z,Earth Aphelion,152105408.51 km
1957-01-03T06:29:43Z,Earth Perihelion,147101250.09 km
1957-07-03T00:21:00Z,Earth Aphelion,152101935.96 km
1958-01-03T13:24:19Z,Earth Perihelion,147093940.59 km
1958-07-05T19:54:11Z,Earth Aphelion,152095832.11 km
1959-01-02T00:17:13Z,Earth Perihelion,147097242.11 km
1959-07-05T06:33:29Z,Earth Aphelion,152105568.98 km
1960-01-04T18:51:36Z,Earth Perihelion,147092875.19 km
1960-07-02T21:32:39Z,Earth Aphelion,152101980.80 km
1961-01-02T16:47:11Z,Earth Perihelion,147085922.42 km
1961-07-05T19:52:13Z,Earth Aphelion,152098947.96 km
1962-01-02T04:48:12Z,Earth Perihelion,147099425.64 km
1962-07-04T04:48:02Z,Earth Aphelion,152102673.35 km
1963-01-04T19:35:51Z,Earth Perihelion,147095598.73 km
1963-07-04T13:26:27Z,Earth Aphelion,152098415.60 km
1964-01-02T20:43:57Z,Earth Perihelion,147094328.66 km
1964-07-05T12:06:12Z,Earth Aphelion,152103647.71 km
1965-01-02T19:16:40Z,Earth Perihelion,147102639.60 km
1965-07-03T08:20:58Z,Earth Aphelion,152099356.09 km
1966-01-03T22:47:13Z,Earth Perihelion,147095130.89 km
1966-07-05T11:50:39Z,Earth Aphelion,152089950.95 km
1967-01-02T05:54:32Z,Earth Perihelion,147097865.99 km
1967-07-05T14:28:17Z,Earth Aphelion,152101263.61 km
1968-01-04T18:01:57Z,Earth Perihelion,147098783.71 km
1968-07-02T19:55:08Z,Earth Aphelion,152101379.41 km
1969-01-03T01:06:16Z,Earth Perihelion,147091963.55 km
1969-07-05T19:53:03Z,Earth Aphelion,152097026.05 km
1970-01-01T21:08:52Z,Earth Perihelion,147100916.89 km
1970-07-04T14:50:04Z,Earth Aphelion,152103266.32 km
1971-01-04T18:31:12Z,Earth Perihelion,147094517.65 km
1971-07-04T04:14:02Z,Earth Aphelion,152100227.54 km
1972-01-03T04:13:56Z,Earth Perihelion,147086974.25 km
1972-07-05T16:58:15Z,Earth Aphelion,152104254.45 km
1973-01-02T11:59:23Z,Earth Perihelion,147096077.43 km
1973-07-03T14:57:37Z,Earth Aphelion,152103996.38 km
1974-01-04T09:40:25Z,Earth Perihelion,147093954.55 km
1974-07-05T01:26:09Z,Earth Aphelion,152093607.66 km
1975-01-02T12:55:35Z,Earth Perihelion,147097945.78 km
1975-07-06T02:35:12Z,Earth Aphelion,152102831.06 km
1976-01-04T11:04:29Z,Earth Perihelion,147102558.46 km
1976-07-03T03:19:41Z,Earth Aphelion,152100638.85 km
1977-01-03T09:53:40Z,Earth Perihelion,147093968.18 km
1977-07-05T20:28:15Z,Earth Aphelion,152090346.57 km
1978-01-01T23:18:04Z,Earth Perihelion,147101234.32 km
1978-07-05T00:17:59Z,Earth Aphelion,152096925.71 km
1979-01-04T22:35:08Z,Earth Perihelion,147099487.83 km
1979-07-03T21:03:21Z,Earth Aphelion,152096277.75 km
1980-01-03T14:44:11Z,Earth Perihelion,147092882.57 km
1980-07-05T17:42:55Z,Earth Aphelion,152099938.32 km
1981-01-02T01:41:03Z,Earth Perihelion,147102483.79 km
1981-07-03T23:03:23Z,Earth Aphelion,152103417.55 km
1982-01-04T11:18:47Z,Earth Perihelion,147098820.94 km
1982-07-04T13:29:39Z,Earth Aphelion,152093659.78 km
1983-01-02T15:16:20Z,Earth Perihelion,147094086.48 km
1983-07-06T09:58:33Z,Earth Aphelion,152102792.66 km
1984-01-03T21:58:36Z,Earth Perihelion,147096394.70 km
1984-07-03T06:21:50Z,Earth Aphelion,152104923.03 km
1985-01-03T19:52:57Z,Earth Perihelion,147087806.18 km
1985-07-05T10:16:24Z,Earth Aphelion,152094508.27 km
1986-01-02T04:54:27Z,Earth Perihelion,147096409.24 km
1986-07-05T10:04:52Z,Earth Aphelion,152102837.35 km
1987-01-04T23:02:08Z,Earth Perihelion,147099737.09 km
1987-07-04T01:00:56Z,Earth Aphelion,152101751.24 km
1988-01-03T23:58:18Z,Earth Perihelion,147092421.42 km
1988-07-05T23:55:41Z,Earth Aphelion,152098756.50 km
1989-01-01T21:52:29Z,Earth Perihelion,147100809.56 km
1989-07-04T11:32:58Z,Earth Aphelion,152099667.49 km
1990-01-04T17:22:33Z,Earth Perihelion,147100006.55 km
1990-07-04T05:04:02Z,Earth Aphelion,152088985.65 km
1991-01-03T02:59:06Z,Earth Perihelion,147096723.47 km
1991-07-06T15:26:27Z,Earth Aphelion,152096568.38 km
1992-01-03T15:02:22Z,Earth Perihelion,147103172.42 km
1992-07-03T12:06:57Z,Earth Aphelion,152102140.47 km
1993-01-04T03:03:44Z,Earth Perihelion,147096987.84 km
1993-07-04T22:20:48Z,Earth Aphelion,152091119.08 km
1994-01-02T05:54:09Z,Earth Perihelion,147099779.71 km
1994-07-05T19:16:44Z,Earth Aphelion,152099747.38 km
1995-01-04T11:05:20Z,Earth Perihelion,147099937.34 km
1995-07-04T02:16:41Z,Earth Aphelion,152102410.99 km
1996-01-04T07:24:50Z,Earth Perihelion,147088038.20 km
1996-07-05T18:59:51Z,Earth Aphelion,152098746.70 km
1997-01-01T23:16:01Z,Earth Perihelion,147094710.48 km
1997-07-04T19:19:20Z,Earth Aphelion,152104173.20 km
1998-01-04T21:15:00Z,Earth Perihelion,147099553.03 km
1998-07-03T23:50:11Z,Earth Aphelion,152095605.83 km
1999-01-03T13:00:07Z,Earth Perihelion,147096730.39 km
1999-07-06T22:50:44Z,Earth Aphelion,152098840.28 km
2000-01-03T05:17:39Z,Earth Perihelion,147102790.29 km
2000-07-03T23:48:53Z,Earth Aphelion,152102302.20 km
2001-01-04T08:52:15Z,Earth Perihelion,147097496.12 km
2001-07-04T13:37:08Z,Earth Aphelion,152087572.31 km
2002-01-02T14:08:46Z,Earth Perihelion,147098057.84 km
2002-07-06T03:46:47Z,Earth Aphelion,152094390.32 km
2003-01-04T05:01:43Z,Earth Perihelion,147102635.25 km
2003-07-04T05:39:37Z,Earth Aphelion,152100378.33 km
2004-01-04T17:41:57Z,Earth Perihelion,147094325.83 km
2004-07-05T10:53:41Z,Earth Aphelion,152095209.44 km
2005-01-02T00:35:16Z,Earth Perihelion,147099110.94 km
2005-07-05T04:57:51Z,Earth Aphelion,152102378.29 km
2006-01-04T15:29:38Z,Earth Perihelion,147103622.18 km
2006-07-03T23:09:59Z,Earth Aphelion,152095745.28 km
2007-01-03T19:42:58Z,Earth Perihelion,147093629.71 km
2007-07-06T23:52:34Z,Earth Aphelion,152097044.71 km
2008-01-02T23:51:06Z,Earth Perihelion,147096602.52 km
2008-07-04T07:40:54Z,Earth Aphelion,152104160.42 km
2009-01-04T15:29:39Z,Earth Perihelion,147095552.26 km
2009-07-04T01:40:17Z,Earth Aphelion,152091131.57 km
2010-01-03T00:09:15Z,Earth Perihelion,147098040.45 km
2010-07-06T11:29:58Z,Earth Aphelion,152096448.03 km
2011-01-03T18:31:59Z,Earth Perihelion,147105760.56 km
2011-07-04T14:53:58Z,Earth Aphelion,152102196.65 km
2012-01-05T00:31:51Z,Earth Perihelion,147097206.80 km
2012-07-05T03:32:15Z,Earth Aphelion,152092423.94 km
2013-01-02T04:37:35Z,Earth Perihelion,147098161.17 km
2013-07-05T14:44:24Z,Earth Aphelion,152097426.26 km
2014-01-04T11:58:34Z,Earth Perihelion,147104780.08 km
2014-07-04T00:13:26Z,Earth Aphelion,152093406.88 km
2015-01-04T06:36:11Z,Earth Perihelion,147096203.90 km
2015-07-06T19:40:22Z,Earth Aphelion,152093480.56 km
2016-01-02T22:48:45Z,Earth Perihelion,147100175.85 km
2016-07-04T16:24:12Z,Earth Aphelion,152103775.49 km
2017-01-04T14:17:50Z,Earth Perihelion,147100997.88 km
2017-07-03T20:11:21Z,Earth Aphelion,152092504.06 km
2018-01-03T05:34:43Z,Earth Perihelion,147097232.84 km
2018-07-06T16:46:45Z,Earth Aphelion,152095565.63 km
2019-01-03T05:19:59Z,Earth Perihelion,147099760.48 km
2019-07-04T22:10:47Z,Earth Aphelion,152104285.10 km
2020-01-05T07:47:54Z,Earth Perihelion,147091143.62 km
2020-07-04T11:34:44Z,Earth Aphelion,152095295.27 km
2021-01-02T13:50:35Z,Earth Perihelion,147093162.59 km
2021-07-05T22:27:25Z,Earth Aphelion,152100527.05 km
2022-01-04T06:54:38Z,Earth Perihelion,147105052.51 km
2022-07-04T07:10:44Z,Earth Aphelion,152098455.11 km
2023-01-04T16:17:28Z,Earth Perihelion,147098924.71 km
2023-07-06T20:06:38Z,Earth Aphelion,152093250.55 km
2024-01-03T00:38:36Z,Earth Perihelion,147100632.48 km
2024-07-05T05:06:03Z,Earth Aphelion,152099968.26 km
2025-01-04T13:28:06Z,Earth Perihelion,147103686.34 km
2025-07-03T19:54:43Z,Earth Aphelion,152087737.61 km
2026-01-03T17:15:38Z,Earth Perihelion,147099894.02 km
2026-07-06T17:30:39Z,Earth Aphelion,152087774.32 km
2027-01-03T02:32:43Z,Earth Perihelion,147104592.32 km
2027-07-05T05:05:49Z,Earth Aphelion,152100481.20 km
2028-01-05T12:28:20Z,Earth Perihelion,147100687.04 km
2028-07-03T22:18:06Z,Earth Aphelion,152093128.58 km
2029-01-02T18:13:33Z,Earth Perihelion,147098349.51 km
2029-07-06T05:11:52Z,Earth Aphelion,152098057.28 km
2030-01-03T10:12:32Z,Earth Perihelion,147105837.55 km
2030-07-04T12:57:43Z,Earth Aphelion,152099543.54 km
2031-01-04T20:47:52Z,Earth Perihelion,147094562.24 km
2031-07-06T07:10:05Z,Earth Aphelion,152094386.02 km
2032-01-03T05:11:21Z,Earth Perihelion,147091640.86 km
2032-07-05T11:53:37Z,Earth Aphelion,152103780.94 km
2033-01-04T11:51:20Z,Earth Perihelion,147099429.15 km
2033-07-03T20:51:59Z,Earth Aphelion,152095199.92 km
2034-01-04T04:46:58Z,Earth Perihelion,147097988.79 km
2034-07-06T18:49:14Z,Earth Aphelion,152091715.07 km
2035-01-03T00:54:16Z,Earth Perihelion,147103317.70 km
2035-07-05T18:21:42Z,Earth Aphelion,152102234.27 km
2036-01-05T14:17:07Z,Earth Perihelion,147102608.95 km
2036-07-03T21:17:32Z,Earth Aphelion,152090661.46 km
2037-01-03T04:00:32Z,Earth Perihelion,147097926.29 km
2037-07-06T12:05:27Z,Earth Aphelion,152090940.92 km
2038-01-03T05:01:31Z,Earth Perihelion,147107797.43 km
2038-07-04T19:46:06Z,Earth Aphelion,152094789.80 km
2039-01-05T06:41:37Z,Earth Perihelion,147101271.23 km
2039-07-05T13:25:18Z,Earth Aphelion,152089994.03 km
2040-01-03T11:32:49Z,Earth Perihelion,147098636.33 km
2040-07-05T19:01:45Z,Earth Aphelion,152100211.69 km
2041-01-03T21:52:02Z,Earth Perihelion,147106632.94 km
2041-07-04T01:38:33Z,Earth Aphelion,152094458.72 km
2042-01-04T09:06:48Z,Earth Perihelion,147099802.60 km
2042-07-06T13:09:57Z,Earth Aphelion,152089482.13 km
2043-01-02T22:15:34Z,Earth Perihelion,147097821.35 km
2043-07-06T02:24:44Z,Earth Aphelion,152102759.51 km
2044-01-05T12:52:17Z,Earth Perihelion,147098033.81 km
2044-07-03T15:24:29Z,Earth Aphelion,152095554.66 km
2045-01-03T14:56:27Z,Earth Perihelion,147094400.84 km
2045-07-06T12:50:57Z,Earth Aphelion,152094483.69 km
2046-01-03T00:57:49Z,Earth Perihelion,147106326.07 km
2046-07-05T06:06:21Z,Earth Aphelion,152100126.76 km
2047-01-05T11:44:30Z,Earth Perihelion,147102816.75 km
2047-07-05T06:32:27Z,Earth Aphelion,152092086.43 km
2048-01-03T18:05:35Z,Earth Perihelion,147096859.34 km
2048-07-06T05:07:47Z,Earth Aphelion,152097225.17 km
2049-01-03T10:27:14Z,Earth Perihelion,147104705.05 km
2049-07-04T09:05:58Z,Earth Aphelion,152091992.12 km
2050-01-04T19:35:08Z,Earth Perihelion,147100490.52 km
2050-07-06T01:57:26Z,Earth Aphelion,152085454.00 km
2051-01-03T05:31:53Z,Earth Perihelion,147100330.01 km
2051-07-06T10:23:52Z,Earth Aphelion,152099922.19 km
2052-01-05T09:18:33Z,Earth Perihelion,147104972.46 km
2052-07-03T16:38:31Z,Earth Aphelion,152095430.58 km
2053-01-03T22:18:16Z,Earth Perihelion,147099583.64 km
2053-07-06T12:30:05Z,Earth Aphelion,152091332.42 km
2054-01-02T17:59:24Z,Earth Perihelion,147104974.20 km
2054-07-05T15:41:28Z,Earth Aphelion,152099013.45 km
2055-01-05T12:24:21Z,Earth Perihelion,147100474.06 km
2055-07-04T20:52:41Z,Earth Aphelion,152093212.43 km
